city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Bergen Op Zoom  Bergen Op Zoom,Netherlands,NL,Woensdrecht,http://airportsbase.org/Netherlands/all/Bergen_Op_Zoom/Woensdrecht,EHWO,BZM,"51° 26' 56.73"" N","004° 20' 31.31"" E",http://airportsbase.org/Netherlands/all/Bergen_Op_Zoom/Woensdrecht
Best  Best,Netherlands,NL,Best -- Bus Service,http://airportsbase.org/Netherlands/all/Best/Best_--_Bus_Service, ,QWZ,,,http://airportsbase.org/Netherlands/all/Best/Best_--_Bus_Service
Breda  Breda,Netherlands,NL,Gilze-Rijen,http://airportsbase.org/Netherlands/all/Breda/Gilze-Rijen,EHGR,GLZ,"51° 34' 5"" N","4° 55' 59"" E",http://airportsbase.org/Netherlands/all/Breda/Gilze-Rijen
Budel  Budel,Netherlands,NL,BUDEL,http://airportsbase.org/Netherlands/all/Budel/BUDEL,EHBD,,"51° 15' 19.01"" N","005° 36' 05.00"" E",http://airportsbase.org/Netherlands/all/Budel/BUDEL
De Bilt  De Bilt,Netherlands,NL,Airport of De Bilt,http://airportsbase.org/Netherlands/all/De_Bilt/Airport_of_De_Bilt,EHDB,,,,http://airportsbase.org/Netherlands/all/De_Bilt/Airport_of_De_Bilt
Den Haag (The Hague  Den Haag (The Hague,Netherlands,NL,Department of Civil Aviation,http://airportsbase.org/Netherlands/all/Den_Haag_The_Hague/Department_of_Civil_Aviation,EHGV,,,,http://airportsbase.org/Netherlands/all/Den_Haag_The_Hague/Department_of_Civil_Aviation
Den Helder  Den Helder,Netherlands,NL,De Kooy/Den Helder Airport,http://airportsbase.org/Netherlands/all/Den_Helder/De_Kooy_Den_Helder_Airport,EHKD,DHR,"52° 55' 28"" N","4° 46' 51"" E",http://airportsbase.org/Netherlands/all/Den_Helder/De_Kooy_Den_Helder_Airport
Deventer  Deventer,Netherlands,NL,Deventer -- Bus Service,http://airportsbase.org/Netherlands/all/Deventer/Deventer_--_Bus_Service, ,QYV,,,http://airportsbase.org/Netherlands/all/Deventer/Deventer_--_Bus_Service
Drachten  Drachten,Netherlands,NL,DRACHTEN,http://airportsbase.org/Netherlands/all/Drachten/DRACHTEN,EHDR,,"53° 07' 09.00"" N","006° 07' 47.00"" E",http://airportsbase.org/Netherlands/all/Drachten/DRACHTEN
Dutch Rail Zone 01 -- Railway Service  Dutch Rail Zone 01 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 01 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_01_--_Railway_Service/Airport_of_Dutch_Rail_Zone_01_--_Railway_Service, ,ZVL,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_01_--_Railway_Service/Airport_of_Dutch_Rail_Zone_01_--_Railway_Service
Dutch Rail Zone 02 -- Railway Service  Dutch Rail Zone 02 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 02 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_02_--_Railway_Service/Airport_of_Dutch_Rail_Zone_02_--_Railway_Service, ,ZWO,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_02_--_Railway_Service/Airport_of_Dutch_Rail_Zone_02_--_Railway_Service
Dutch Rail Zone 03 -- Railway Service  Dutch Rail Zone 03 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 03 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_03_--_Railway_Service/Airport_of_Dutch_Rail_Zone_03_--_Railway_Service, ,ZVN,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_03_--_Railway_Service/Airport_of_Dutch_Rail_Zone_03_--_Railway_Service
Dutch Rail Zone 04 -- Railway Service  Dutch Rail Zone 04 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 04 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_04_--_Railway_Service/Airport_of_Dutch_Rail_Zone_04_--_Railway_Service, ,ZVO,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_04_--_Railway_Service/Airport_of_Dutch_Rail_Zone_04_--_Railway_Service
