name,description,styleUrl,longitude,latitude,altitude
BLOOD TRIBE AGDM ALBERTA,BLOOD TRIBE AGDM ALBERTA ,Weather StationID 42703,#icon-22,-113.05,49.566667,0
BLUE RIVER A BRITISH COLUMBIA,BLUE RIVER A BRITISH COLUMBIA ,Weather StationID 1237,#icon-22,-119.283333,52.116667,0
BLUE RIVER CS BRITISH COLUMBIA,BLUE RIVER CS BRITISH COLUMBIA ,Weather StationID 8214,#icon-22,-119.283333,52.116667,0
BOAT BLUFF BRITISH COLUMBIA,BOAT BLUFF BRITISH COLUMBIA ,Weather StationID 383,#icon-22,-128.516667,52.633333,0
BODO AGDM ALBERTA,BODO AGDM ALBERTA ,Weather StationID 32149,#icon-22,-110.1,52.116667,0
BONAVISTA NEWFOUNDLAND,BONAVISTA NEWFOUNDLAND ,Weather StationID 45047,#icon-22,-53.1,48.666667,0
BONILLA ISLAND (AUT) BRITISH COLUMBIA,BONILLA ISLAND (AUT) BRITISH COLUMBIA ,Weather StationID 8265,#icon-22,-130.633333,53.5,0
BONNARD 1 QUEBEC,BONNARD 1 QUEBEC ,Weather StationID 10874,#icon-22,-71,50.716667,0
BONNER LAKE ONTARIO,BONNER LAKE ONTARIO ,Weather StationID 4140,#icon-22,-82.116667,49.383333,0
BORDEN AWOS ONTARIO,BORDEN AWOS ONTARIO ,Weather StationID 29516,#icon-22,-79.9,44.266667,0
BOW ISLAND ALBERTA,BOW ISLAND ALBERTA ,Weather StationID 10915,#icon-22,-111.45,49.733333,0
BOW ISLAND IRRIGATION AGDM ALBERTA,BOW ISLAND IRRIGATION AGDM ALBERTA ,Weather StationID 42723,#icon-22,-111.383333,49.866667,0
BOW VALLEY ALBERTA,BOW VALLEY ALBERTA ,Weather StationID 10222,#icon-22,-115.066667,51.083333,0
BRANCH NEWFOUNDLAND,BRANCH NEWFOUNDLAND ,Weather StationID 6578,#icon-22,-53.966667,46.866667,0
BRANDON A MANITOBA,BRANDON A MANITOBA ,Weather StationID 3471,#icon-22,-99.95,49.9,0
BRATT'S LAKE CLIMATE SASKATCHEWAN,BRATT'S LAKE CLIMATE SASKATCHEWAN ,Weather StationID 44543,#icon-22,-104.7,50.2,0
BRETON ALBERTA,BRETON ALBERTA ,Weather StationID 1825,#icon-22,-114.483333,53.166667,0
BRETON PLOTS ALBERTA,BRETON PLOTS ALBERTA ,Weather StationID 10928,#icon-22,-114.433333,53.083333,0
