sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
132,59,07,1138.25,441.12,1073.69,1.39
127,107,09,1458.5,475.07,1389.87,1.36
125,127,09,1249.57,469.37,1175.4,1.41
124,137,09,787.2,276.81,748.43,1.36
130,79,07,1861.19,596.06,1776.18,1.35
126,117,09,760.97,312.35,711.39,1.43
135,29,07,1504.91,377.88,1458.58,1.29
109,104,09,818.56,281.9,775.63,1.39
106,134,09,836.84,337.73,782.46,1.43
131,69,07,2472.76,718.41,2378.1,1.32
107,124,09,901.6,365.61,838.88,1.46
108,114,09,1108.8,404.06,1049.63,1.38
109,127,07,1916.23,678.29,1805.42,1.41
48,23,08,1417.26,444.04,1359.78,1.32
44,63,08,1158.1,400.63,1103.43,1.35
47,33,08,1546.18,442.2,1489.51,1.31
49,13,08,1451.0,600.16,1347.71,1.45
110,28,07,647.15,241.71,609.37,1.41
111,18,07,1179.96,390.65,1125.41,1.35
43,73,08,2221.21,711.82,2118.63,1.35
12,98,09,1843.62,694.92,1736.22,1.4
9,128,09,820.78,297.53,775.13,1.39
76,5,09,1133.77,421.26,1069.82,1.39
13,88,09,1545.71,634.85,1445.66,1.42
51,20,09,2602.24,712.34,2510.74,1.3
50,30,09,1782.78,564.22,1704.41,1.34
19,28,09,1160.85,499.0,1086.4,1.41
41,93,08,612.49,251.42,569.85,1.46
14,78,09,1483.95,454.87,1422.16,1.34
136,1,08,1294.83,429.74,1233.36,1.36
18,38,09,1296.66,332.13,1258.14,1.27
46,43,08,1631.73,574.65,1542.9,1.39
16,58,09,1753.15,711.06,1652.86,1.38
45,53,08,1370.19,487.11,1303.27,1.36
17,48,09,1114.99,393.89,1061.8,1.35
42,83,08,672.41,236.82,638.74,1.37
8,138,09,456.8,225.6,424.32,1.44
31,68,08,796.07,349.76,736.76,1.46
33,48,08,1498.26,419.77,1448.32,1.29
36,18,08,1016.23,301.93,975.26,1.33
30,78,08,769.94,310.65,716.89,1.46
34,38,08,1840.31,391.35,1800.21,1.23
110,109,08,1628.99,542.2,1556.15,1.34
