sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
85,110,12,1494.86,324.11,1462.25,1.23
84,120,12,1671.61,373.85,1630.93,1.25
102,50,12,676.0,244.63,642.23,1.36
101,60,12,353.08,201.79,294.25,2.01
103,40,12,2012.82,490.94,1953.57,1.28
106,10,12,1159.75,296.71,1121.72,1.33
104,30,12,1608.06,479.83,1541.09,1.34
100,70,12,868.93,383.02,816.15,1.4
105,20,12,1845.98,459.46,1794.28,1.26
57,26,10,980.5,326.9,933.69,1.36
54,56,10,1965.18,707.34,1856.28,1.39
55,46,10,1688.92,497.03,1623.43,1.32
90,24,10,403.62,244.51,337.22,1.88
91,14,10,1818.0,566.78,1744.05,1.32
50,96,10,1319.94,314.6,1287.29,1.24
53,66,10,1120.56,257.73,1092.65,1.25
58,16,10,1384.08,280.31,1361.85,1.19
132,2,11,1159.34,366.99,1109.78,1.33
29,101,11,686.2,241.17,647.86,1.4
52,76,10,193.44,115.09,161.7,1.96
119,72,11,1269.44,364.98,1219.43,1.33
28,111,11,181.69,160.1,118.02,3.27
32,119,12,1167.29,304.01,1130.09,1.29
107,87,11,1593.24,406.53,1543.6,1.29
25,141,11,1537.39,490.34,1464.26,1.37
56,36,10,1525.65,389.34,1478.61,1.28
118,82,11,473.73,237.68,430.15,1.53
26,131,11,1461.11,326.04,1427.8,1.24
108,77,11,1394.45,587.71,1303.57,1.42
30,139,12,680.59,277.5,635.89,1.44
117,92,11,1349.31,364.22,1308.32,1.27
121,7,11,1567.22,389.0,1529.43,1.23
31,129,12,1720.81,466.75,1661.29,1.3
106,97,11,885.29,223.91,864.8,1.22
27,121,11,1803.91,518.87,1738.16,1.3
70,17,10,1178.08,381.0,1128.77,1.32
109,67,11,1644.04,538.31,1562.33,1.37
33,109,12,1708.84,513.77,1647.92,1.29
23,76,12,581.6,223.59,544.21,1.43
24,66,12,851.15,361.09,791.87,1.46
28,26,12,1112.95,298.79,1078.53,1.28
21,96,12,494.52,178.69,465.11,1.42
22,86,12,1332.01,447.31,1261.81,1.39
20,1,11,1684.45,518.49,1615.42,1.33
89,128,12,1707.12,482.13,1643.86,1.31
88,138,12,773.21,370.16,727.6,1.37
25,56,12,1798.68,605.45,1713.85,1.35
118,94,10,1787.18,407.65,1741.93,1.25
133,4,10,918.02,304.81,875.91,1.35
119,84,10,1942.51,602.45,1856.93,1.35
26,46,12,1551.93,378.26,1508.58,1.27
89,93,11,1199.98,369.24,1151.82,1.32
29,16,12,1551.78,287.12,1527.93,1.19
12,108,12,1514.42,436.84,1457.77,1.31
